radius,kernel_size,pad_size,stride_x,stride_y,psnr_db
1,3,0,1,1,26.167095
1,3,0,2,2,26.215636
1,3,0,3,3,26.065130
1,3,1,1,1,26.167544
1,3,1,2,2,26.158936
1,3,1,3,3,26.191319
1,3,2,1,1,26.183486
1,3,2,2,2,26.237209
1,3,2,3,3,26.228043
1,3,3,1,1,26.191247
1,3,3,2,2,26.184006
1,3,3,3,3,26.099602
1,3,4,1,1,26.200196
1,3,4,2,2,26.253272
1,3,4,3,3,26.214578
1,3,5,1,1,26.212659
1,3,5,2,2,26.206551
1,3,5,3,3,26.261679
2,5,0,1,1,24.873779
2,5,0,2,2,24.814737
2,5,0,3,3,24.839086
2,5,1,1,1,24.888732
2,5,1,2,2,24.978913
2,5,1,3,3,24.947004
2,5,2,1,1,24.899250
2,5,2,2,2,24.841078
2,5,2,3,3,24.878366
2,5,3,1,1,24.914092
2,5,3,2,2,25.003979
2,5,3,3,3,24.882093
2,5,4,1,1,24.927650
2,5,4,2,2,24.870568
2,5,4,3,3,24.987835
2,5,5,1,1,24.941366
2,5,5,2,2,25.031758
2,5,5,3,3,24.917847
3,7,0,1,1,23.677459
3,7,0,2,2,23.735703
3,7,0,3,3,23.650550
3,7,1,1,1,23.691264
3,7,1,2,2,23.647768
3,7,1,3,3,23.673564
3,7,2,1,1,23.705767
3,7,2,2,2,23.764622
3,7,2,3,3,23.749027
3,7,3,1,1,23.715395
3,7,3,2,2,23.672279
3,7,3,3,3,23.682623
3,7,4,1,1,23.729797
3,7,4,2,2,23.788604
3,7,4,3,3,23.714851
3,7,5,1,1,23.743388
3,7,5,2,2,23.699880
3,7,5,3,3,23.787570
4,9,0,1,1,22.840490
4,9,0,2,2,22.804153
4,9,0,3,3,22.895884
4,9,1,1,1,22.854431
4,9,1,2,2,22.908054
4,9,1,3,3,22.826602
4,9,2,1,1,22.868336
4,9,2,2,2,22.831481
4,9,2,3,3,22.850479
4,9,3,1,1,22.882614
4,9,3,2,2,22.935249
4,9,3,3,3,22.934326
4,9,4,1,1,22.892962
4,9,4,2,2,22.855822
4,9,4,3,3,22.860642
4,9,5,1,1,22.907128
4,9,5,2,2,22.960171
4,9,5,3,3,22.891262
5,11,0,1,1,22.231262
5,11,0,2,2,22.276960
5,11,0,3,3,22.235152
5,11,1,1,1,22.245029
5,11,1,2,2,22.216138
5,11,1,3,3,22.273889
5,11,2,1,1,22.259063
5,11,2,2,2,22.305089
5,11,2,3,3,22.251275
5,11,3,1,1,22.272988
5,11,3,2,2,22.243611
5,11,3,3,3,22.274071
5,11,4,1,1,22.286854
5,11,4,2,2,22.332165
5,11,4,3,3,22.312416
5,11,5,1,1,22.297155
5,11,5,2,2,22.267222
5,11,5,3,3,22.286134
