order,median_radius,median_pad,gaussian_radius,gaussian_pad,psnr_db
median->gaussian,1,0,1,0,26.403167
median->gaussian,1,0,1,2,26.428600
median->gaussian,1,0,1,4,26.454881
median->gaussian,1,0,3,0,24.317123
median->gaussian,1,0,3,2,24.344544
median->gaussian,1,0,3,4,24.371000
median->gaussian,1,0,5,0,23.010053
median->gaussian,1,0,5,2,23.039170
median->gaussian,1,0,5,4,23.067047
median->gaussian,1,2,1,0,26.427301
median->gaussian,1,2,1,2,26.450381
median->gaussian,1,2,1,4,26.476572
median->gaussian,1,2,3,0,24.344651
median->gaussian,1,2,3,2,24.370856
median->gaussian,1,2,3,4,24.397346
median->gaussian,1,2,5,0,23.038971
median->gaussian,1,2,5,2,23.067068
median->gaussian,1,2,5,4,23.093395
median->gaussian,1,4,1,0,26.453764
median->gaussian,1,4,1,2,26.475882
median->gaussian,1,4,1,4,26.499146
median->gaussian,1,4,3,0,24.369663
median->gaussian,1,4,3,2,24.398184
median->gaussian,1,4,3,4,24.424235
median->gaussian,1,4,5,0,23.067098
median->gaussian,1,4,5,2,23.092385
median->gaussian,1,4,5,4,23.121392
median->gaussian,3,0,1,0,23.661564
median->gaussian,3,0,1,2,23.689941
median->gaussian,3,0,1,4,23.720499
median->gaussian,3,0,3,0,23.215093
median->gaussian,3,0,3,2,23.244657
median->gaussian,3,0,3,4,23.272471
median->gaussian,3,0,5,0,22.503384
median->gaussian,3,0,5,2,22.533179
median->gaussian,3,0,5,4,22.562448
median->gaussian,3,2,1,0,23.689410
median->gaussian,3,2,1,2,23.717541
median->gaussian,3,2,1,4,23.745775
median->gaussian,3,2,3,0,23.244608
median->gaussian,3,2,3,2,23.272501
median->gaussian,3,2,3,4,23.300060
median->gaussian,3,2,5,0,22.533033
median->gaussian,3,2,5,2,22.562447
median->gaussian,3,2,5,4,22.590552
median->gaussian,3,4,1,0,23.713736
median->gaussian,3,4,1,2,23.737882
median->gaussian,3,4,1,4,23.765678
median->gaussian,3,4,3,0,23.272707
median->gaussian,3,4,3,2,23.297298
median->gaussian,3,4,3,4,23.321997
median->gaussian,3,4,5,0,22.562392
median->gaussian,3,4,5,2,22.590992
median->gaussian,3,4,5,4,22.616076
median->gaussian,5,0,1,0,22.216524
median->gaussian,5,0,1,2,22.244700
median->gaussian,5,0,1,4,22.272620
median->gaussian,5,0,3,0,22.066196
median->gaussian,5,0,3,2,22.094973
median->gaussian,5,0,3,4,22.123002
median->gaussian,5,0,5,0,21.796146
median->gaussian,5,0,5,2,21.827103
median->gaussian,5,0,5,4,21.855936
median->gaussian,5,2,1,0,22.244353
median->gaussian,5,2,1,2,22.271814
median->gaussian,5,2,1,4,22.299885
median->gaussian,5,2,3,0,22.095265
median->gaussian,5,2,3,2,22.123488
median->gaussian,5,2,3,4,22.150773
median->gaussian,5,2,5,0,21.827124
median->gaussian,5,2,5,2,21.856654
median->gaussian,5,2,5,4,21.884924
median->gaussian,5,4,1,0,22.272303
median->gaussian,5,4,1,2,22.299904
median->gaussian,5,4,1,4,22.327307
median->gaussian,5,4,3,0,22.123826
median->gaussian,5,4,3,2,22.151905
median->gaussian,5,4,3,4,22.179442
median->gaussian,5,4,5,0,21.856697
median->gaussian,5,4,5,2,21.885690
median->gaussian,5,4,5,4,21.913776
gaussian->median,1,0,1,0,21.565931
gaussian->median,1,0,1,2,21.574278
gaussian->median,1,0,1,4,21.586043
gaussian->median,1,0,3,0,21.820352
gaussian->median,1,0,3,2,21.839894
gaussian->median,1,0,3,4,21.856472
gaussian->median,1,0,5,0,21.363574
gaussian->median,1,0,5,2,21.386185
gaussian->median,1,0,5,4,21.408645
gaussian->median,1,2,1,0,21.575442
gaussian->median,1,2,1,2,21.578943
gaussian->median,1,2,1,4,21.593814
gaussian->median,1,2,3,0,21.839800
gaussian->median,1,2,3,2,21.859352
gaussian->median,1,2,3,4,21.872144
gaussian->median,1,2,5,0,21.386583
gaussian->median,1,2,5,2,21.408469
gaussian->median,1,2,5,4,21.431224
gaussian->median,1,4,1,0,21.587895
gaussian->median,1,4,1,2,21.590570
gaussian->median,1,4,1,4,21.601843
gaussian->median,1,4,3,0,21.859353
gaussian->median,1,4,3,2,21.878573
gaussian->median,1,4,3,4,21.890815
gaussian->median,1,4,5,0,21.409466
gaussian->median,1,4,5,2,21.431033
gaussian->median,1,4,5,4,21.452989
